threshold,precision,recall
0.00840166339752882,0.1336322869955157,1.0
0.009947834695966835,0.13375224416517056,1.0
0.013052283088790929,0.1341134113411341,1.0
0.014082614513524605,0.13423423423423422,1.0
0.014202929939149914,0.13435527502254282,1.0
0.014887236429498537,0.13447653429602888,1.0
0.014923423038347374,0.13459801264679314,1.0
0.015048234254740134,0.13471971066907776,1.0
0.01610966484014296,0.134841628959276,1.0
0.016459310206642423,0.13520871143375682,1.0
0.016667790182057884,0.13533151680290645,1.0
0.016826630428951602,0.13545454545454547,1.0
0.01706583660428088,0.13557779799818018,1.0
0.017578323677159103,0.13570127504553733,1.0
0.017986459932386976,0.1358249772105743,1.0
0.01799529534406038,0.13594890510948904,1.0
0.018176461720462687,0.13607305936073058,1.0
0.018234889443120045,0.13619744058500913,1.0
0.01889410132935498,0.13632204940530648,1.0
0.01895122870411177,0.13644688644688643,1.0
0.01909212417022683,0.13657195233730524,1.0
0.02018141698554205,0.13669724770642203,1.0
0.02059429529811278,0.13682277318640956,1.0
0.02070974514171412,0.13694852941176472,1.0
0.020944270572401624,0.13707451701931922,1.0
0.021052127860800365,0.13720073664825047,1.0
0.02162539531323585,0.13732718894009216,1.0
0.021855022637795245,0.13745387453874539,1.0
0.02222337531934003,0.13758079409048937,1.0
0.022392120682918067,0.1377079482439926,1.0
0.023453646593020145,0.13783533765032377,1.0
0.02349879320109564,0.13796296296296295,1.0
0.02384265069727535,0.1380908248378128,1.0
0.023877923104132132,0.13821892393320964,1.0
0.02419628459452876,0.13834726090993502,1.0
0.024417772698878428,0.13847583643122677,1.0
0.024776228832348722,0.1386046511627907,1.0
0.025369497341562193,0.1387337057728119,1.0
0.025451546449337868,0.13886300093196646,1.0
0.025646049342802454,0.13899253731343283,1.0
0.02576551415398315,0.13912231559290383,1.0
0.025999590682767096,0.13925233644859814,1.0
0.02608821050834386,0.13938260056127222,1.0
0.026320254783723886,0.13951310861423222,1.0
0.026365201019968816,0.13964386129334583,1.0
0.026631506476483827,0.1397748592870544,1.0
0.026841976134228816,0.13990610328638498,1.0
0.026845021111196656,0.1400375939849624,1.0
0.026891579197420277,0.14016933207902163,1.0
0.02691217882076848,0.14030131826741996,1.0
0.02693433216140082,0.14043355325164938,1.0
0.026985645515355768,0.14056603773584905,1.0
0.027002635270047905,0.14069877242681775,1.0
0.027268013461541268,0.14083175803402648,1.0
0.027351023319105244,0.14096499526963102,1.0
0.02766792991558259,0.14109848484848486,1.0
0.02780639097364509,0.14123222748815165,1.0
0.027837546540917635,0.1413662239089184,1.0
0.02786479378819863,0.14150047483380818,1.0
0.0279337758512599,0.14163498098859315,1.0
0.028078750838215212,0.14176974310180782,1.0
0.02822497736790013,0.1419047619047619,1.0
0.028593398176768148,0.14204003813155386,1.0
0.0287453076639706,0.14217557251908397,1.0
0.028752454236697086,0.14231136580706782,1.0
0.028770773654032578,0.14244741873804972,1.0
0.028771149708245652,0.14258373205741626,1.0
0.0288887379080272,0.14272030651340997,1.0
0.028904030966150088,0.14285714285714285,1.0
0.02922014289793567,0.14299424184261036,1.0
0.029264306894535744,0.1431316042267051,1.0
0.02929844944006521,0.14326923076923076,1.0
0.02933033049530511,0.14340712223291627,1.0
0.029348227117983603,0.14354527938342967,1.0
0.02945376426718341,0.14368370298939248,1.0
0.02947255283490541,0.1438223938223938,1.0
0.02958750148679608,0.14396135265700483,1.0
0.029593669833335758,0.14410058027079303,1.0
0.029676150671986076,0.1442400774443369,1.0
0.02968985359253217,0.14437984496124032,1.0
0.029696781418570732,0.14451988360814744,1.0
0.029711002778698696,0.14466019417475728,1.0
0.029911091224506477,0.14480077745383868,1.0
0.02992330152839524,0.14494163424124515,1.0
0.030148072735595707,0.1450827653359299,1.0
0.030149472121072832,0.145224171539961,1.0
0.03036752806839701,0.14536585365853658,1.0
0.03040426234961387,0.1455078125,1.0
0.03097926767985754,0.14565004887585534,1.0
0.031131147637698302,0.14579256360078277,1.0
0.0313146275945492,0.14593535749265427,1.0
0.03137915876997143,0.14607843137254903,1.0
0.03167682927830958,0.14622178606476938,1.0
0.03167745885502509,0.14636542239685657,1.0
0.03170106744697016,0.14650934119960668,1.0
0.03177229072861112,0.1466535433070866,1.0
0.03184387966211753,0.14679802955665025,1.0
0.031917656654910656,0.14694280078895464,1.0
0.03196850169187244,0.14708785784797632,1.0
0.032030694798638154,0.14723320158102768,1.0
0.03211718483841642,0.14781746031746032,1.0
0.032482838799140684,0.14796425024826215,1.0
0.032730736561609165,0.1481113320079523,1.0
0.032918339209323015,0.1482587064676617,1.0
0.03317119290513333,0.14840637450199204,1.0
0.03322039799829904,0.1485543369890329,1.0
0.03351101345471109,0.14870259481037923,1.0
0.033516879655993946,0.14885114885114886,1.0
0.03354118671654301,0.149,1.0
0.03396500383431735,0.14914914914914915,1.0
0.034054590425955766,0.1492985971943888,1.0
0.03411894875363187,0.14944834503510532,1.0
0.03424634827915319,0.1495983935742972,1.0
0.03425763385899732,0.14974874371859295,1.0
0.034321547965254544,0.14989939637826963,1.0
0.03440004527711532,0.1500503524672709,1.0
0.03474697241785766,0.1502016129032258,1.0
0.0347551953165874,0.1503531786074672,1.0
0.034843506243803175,0.1505050505050505,1.0
0.03504263620618738,0.1506572295247725,1.0
0.035051614634185144,0.1508097165991903,1.0
0.03511721336100748,0.15096251266464034,1.0
0.03526581152207167,0.1511156186612576,1.0
0.035305960356363804,0.15126903553299492,1.0
0.03538723472273823,0.15142276422764228,1.0
0.03550676844063111,0.1515768056968464,1.0
0.03550900685423051,0.15173116089613034,1.0
